id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
245891,John Wick,7.421,17923,Released,2014-10-22,88761661,101,False,/7dzngS8pLkGJpyeskCFcjPO9qLF.jpg,20000000,https://www.lionsgate.com/movies/john-wick,tt2911666,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,55.739,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,Don't set him off.,"Action, Thriller","87Eleven, DefyNite Films, MJW Films, Thunder Road",United States of America,"Hungarian, English, Russian","hitman, bratva (russian mafia), gangster, secret organization, revenge, murder, dog, retired, widower"
244786,Whiplash,8.381,13891,Released,2014-10-10,13092000,107,False,/vNXGrknx4GjWLgmuNTftWZluIUl.jpg,3300000,http://sonyclassics.com/whiplash/,tt2582802,en,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",54.495,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,The road to greatness can take you to the edge.,"Drama, Music","Bold Films, Blumhouse Productions, Right of Way Films, Sierra/Affinity, Stage 6 Films, Sony Pictures Classics",United States of America,English,"new york city, concert, jazz, obsession, music teacher, conservatory, montage, public humiliation, jazz band, young adult, music school, based on short film"
264660,Ex Machina,7.572,12362,Released,2015-01-21,36869414,108,False,/uqOuJ50EtTj7kkDIXP8LCg7G45D.jpg,15000000,http://exmachina-movie.com/,tt0470752,en,Ex Machina,"Caleb, a coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl.",26.767,/dmJW8IAKHKxFNiUnoDR7JfsK7Rp.jpg,There is nothing more human than the will to survive,"Drama, Science Fiction","DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions","United Kingdom, United States of America",English,"android, dancing, friendship, distrust, artificial intelligence (a.i.), isolation, technology, manipulation, deception, norway, laboratory, robot, power outage, surveillance camera, consciousness, existentialism, lockdown, philosophical, turing test, cybernetics, gynoid, female cyborg, human android relationship"
398818,Call Me by Your Name,8.167,11367,Released,2017-09-01,43143046,132,False,/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg,4000000,http://sonyclassics.com/callmebyyourname/,tt5726616,en,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",32.15,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,Is it better to speak or die?,"Romance, Drama","La Cinéfacture, RT Features, Frenesy Film, Water's End Productions, M.Y.R.A. Entertainment, CineFinance Italia","Brazil, France, Italy, United States of America","French, English, Italian","based on novel or book, upper class, italy, swimming pool, coming of age, love, breaking the fourth wall, summer, teenage boy, masturbation, first love, lgbt, jewish family, 1980s, peach, gay theme"
242582,Nightcrawler,7.703,10032,Released,2014-10-23,50300000,118,False,/wofhl2lsTYCPmMQPsbj6iu9n0P6.jpg,8500000,http://nightcrawlerfilm.com,tt2872718,en,Nightcrawler,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",44.274,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,The city shines brightest at night,"Crime, Drama, Thriller","Sierra/Affinity, Bold Films",United States of America,English,"underground, psychopath, journalism, job interview, cynicism, sociopath, crime scene, psychological thriller, los angeles, california, home invasion, stakeout, newsreel footage, character study, neo-noir, ethics, stringer, police scanner, news business"
515001,Jojo Rabbit,8.042,8724,Released,2019-10-18,82468705,108,False,/agoBZfL1q5G79SD0npArSlJn8BH.jpg,14000000,http://www.foxsearchlight.com/jojorabbit,tt2584384,en,Jojo Rabbit,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",22.567,/7GsM4mtM0worCtIVeiQt28HieeN.jpg,An anti-hate satire.,"Comedy, War, Drama","Fox Searchlight Pictures, Defender Films, Piki Films, TSG Entertainment, Czech Anglo Productions","Czech Republic, New Zealand, United States of America","English, German","based on novel or book, world war ii, jew persecution, satire, imaginary friend, hitler youth, gay interest, single mother, nazism, 1940s, child protagonist, adolf hitler, children in wartime"
264644,Room,8.033,8684,Released,2015-10-16,35401758,118,False,/i8aK8cGt5iYfMmUJiAe5AKIqYE5.jpg,13000000,https://a24films.com/films/room,tt3170832,en,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",17.002,/dIxoYFcj6EqD5KScuU8lWCftnvH.jpg,Love knows no boundaries,"Drama, Thriller","Elevation Pictures, Téléfilm Canada, Element Pictures, FilmNation Entertainment, No Trace Camping, Film4 Productions, Fís Éireann/Screen Ireland","Canada, Ireland, United Kingdom, United States of America",English,"based on novel or book, escape, isolation, carpet, kidnapping, imprisonment, grandparents, hospital, dog, captive, children's perspectives, skylight, mother son relationship"
664413,365 Days,7.063,8429,Released,2020-02-07,9458590,116,False,/isBjNHBblzxrzHrAtRbjgkYzAut.jpg,0,https://www.netflix.com/title/81245964,tt10886166,pl,365 dni,"A woman falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",32.781,/6KwrHucIE3CvNT7kTm2MAlZ4fYF.jpg,,"Romance, Drama","Ekipa, Future Space, Next Film, TVN Group",Poland,"English, French, Italian, Polish","kidnapping, gangster, yacht, nightclub, mansion, prostitution, relationship, softcore, mature, bdsm, rich man poor woman, disturbed, aggressive, abduction, sex, antagonistic, arrogant, disgusted, disrespectful"
300668,Annihilation,6.398,8014,Released,2018-02-22,43070915,115,False,/vYs1YGalB8IEXxdxDtqkL0vfHjO.jpg,40000000,http://annihilationmovie.com,tt2798920,en,Annihilation,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",32.793,/4YRplSk6BhH6PRuE9gfyw9byUJ6.jpg,Fear what's inside.,"Science Fiction, Horror","DNA Films, Paramount, Scott Rudin Productions, Skydance","United Kingdom, United States of America",English,"depression, florida, quarantine, coma, based on novel or book, mutation, self-destruction, professor, dna, expedition, transformation, alligator, hybrid, swamp, meteor, grief, physicist, cancer, memory loss, psychologist, scientist, paramedic, missing person, beast, geologist, biologist, unusual phenomena, compound, missing husband, fauna, mysterious life form, flora"
391713,Lady Bird,7.271,7861,Released,2017-09-01,78966486,94,False,/pcWxKfFNCznTKYy0E8M9nG1cwL4.jpg,10000000,http://ladybird.movie,tt4925292,en,Lady Bird,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",25.85,/iySFtKLrWvVzXzlFj7x1zalxi5G.jpg,,"Drama, Comedy","IAC Films, Scott Rudin Productions, Entertainment 360",United States of America,English,"friendship, loss of virginity, coming of age, teen angst, high school graduation, teenage girl, best friend, loss of job, high school student, catholic school, first love, sacramento, woman director, father daughter relationship, mother daughter relationship, college applications, 2000s, empathetic"
